PLAYER,CAP HIT,player_id
Connor McDavid,12500000,mcdavco01
Artemi Panarin,11642857,panarar01
Auston Matthews,11640250,matthau01
Erik Karlsson,11500000,karlser01
John Tavares,11000000,tavarjo01
Drew Doughty,11000000,doughdr01
Mitchell Marner,10903000,marnemi01
Patrick Kane,10500000,kanepa01
Jonathan Toews,10500000,toewsjo01
Carey Price,10500000,priceca01
Aleksander Barkov,10000000,barkoal01
Anze Kopitar,10000000,kopitan01
Jack Eichel,10000000,eicheja01
Sergei Bobrovsky,10000000,bobrose01
Tyler Seguin,9850000,seguity01
Johnny Gaudreau,9750000,gaudrjo01
Zachary Werenski,9583333,werenza01
Mark Stone,9500000,stonema01
Seth Jones,9500000,jonesse01
Brayden Point,9500000,pointbr01
Charlie McAvoy,9500000,mcavoch01
Adam Fox,9500000,foxad01
Matthew Tkachuk,9500000,tkachma01
Nikita Kucherov,9500000,kucheni01
Andrei Vasilevskiy,9500000,vasilan01
Alex Ovechkin,9500000,ovechal01
Jamie Benn,9500000,bennja01
Darnell Nurse,9250000,nurseda01
Mikko Rantanen,9250000,rantami01
Nicklas Bäckström,9200000,bäcksni01
Roman Josi,9059000,josiro01
Jeff Skinner,9000000,skinnje01
Cale Makar,9000000,makarca01
Kirill Kaprizov,9000000,kapriki01
Dougie Hamilton,9000000,hamildo01
Alex Pietrangelo,8800000,pietral01
Sidney Crosby,8700000,crosbsi01
Patrik Laine,8700000,lainepa01
Leon Draisaitl,8500000,draisle01
Mika Zibanejad,8500000,zibanmi01
Steven Stamkos,8500000,stamkst01
Filip Forsberg,8500000,forsbfi01
Sebastian Aho,8460250,ahose01
Miro Heiskanen,8450000,heiskmi01
Oliver Ekman-Larsson,8250000,ekmanol01
Jakub Voracek,8250000,voracja01
Blake Wheeler,8250000,wheelbl01
Brady Tkachuk,8205714,tkachbr01
Tomas Hertl,8137500,hertlto01
John Carlson,8000000,carlsjo01
Brent Burns,8000000,burnsbr01
Jacob Trouba,8000000,troubja01
Logan Couture,8000000,coutulo01
Jack Hughes,8000000,hugheja01
Ryan Johansen,8000000,johanry01
Matt Duchene,8000000,duchema01
Thomas Chabot,8000000,chaboth01
Joshua Norris,7950000,norrijo01
Kevin Fiala,7875000,fialake01
Victor Hedman,7875000,hedmavi01
Nick Suzuki,7875000,suzukni01
Shea Weber,7857143,webersh01
Quinn Hughes,7850000,hughequ01
Evgeny Kuznetsov,7800000,kuzneev01
Jason Robertson,7750000,roberja01
Andrei Svechnikov,7750000,svechan01
Sean Couturier,7750000,coutuse01
Jared Spurgeon,7575000,spurgja01
Morgan Rielly,7500000,riellmo01
Ryan O'Reilly,7500000,o'reiry01
Vladimir Tarasenko,7500000,tarasvl01
Aaron Ekblad,7500000,ekblaaa01
Elias Pettersson,7350000,petteel01
Nico Hischier,7250000,hischni01
Clayton Keller,7150000,kellecl01
Kyle Connor,7142857,connoky01
Kevin Hayes,7142857,hayeske01
Anders Lee,7000000,leean01
Marc-Édouard Vlasic,7000000,vlasima01
Max Pacioretty,7000000,pacioma01
John Klingberg,7000000,klingjo01
James van Riemsdyk,7000000,vanja01
Mathew Barzal,7000000,barzama01
Gabriel Landeskog,7000000,landega01
Nazem Kadri,7000000,kadrina01
William Nylander,6962366,nylanwi01
Brent Seabrook,6875000,seabrbr01
Ryan McDonagh,6750000,mcdonry01
Ivan Provorov,6750000,provoiv01
David Pastrnak,6666667,pastrda01
Brock Boeser,6650000,boesebr01
Sam Reinhart,6500000,reinhsa01
Chris Kreider,6500000,kreidch01
Brayden Schenn,6500000,schenbr01
Torey Krug,6500000,krugto01
Cam Fowler,6500000,fowleca01
Brendan Gallagher,6500000,gallabr01
Colton Parayko,6500000,parayco01
Hampus Lindholm,6500000,lindhha01
Justin Faulk,6500000,faulkju01
Claude Giroux,6500000,giroucl01
John Gibson,6400000,gibsojo01
Alex DeBrincat,6400000,debrial01
Sean Monahan,6375000,monahse01
Nathan MacKinnon,6300000,mackina01
Matt Murray,6250000,murrama01
Jeff Petry,6250000,petryje01
Mattias Ekholm,6250000,ekholma01
Ryan Ellis,6250000,ellisry01
Joshua Morrissey,6250000,morrijo01
Connor Hellebuyck,6166666,helleco01
Ryan Pulock,6150000,pulocry01
Mark Scheifele,6125000,scheima01
Brad Marchand,6125000,marchbr01
Valeri Nichushkin,6125000,nichuva01
Evgeni Malkin,6100000,malkiev01
Dylan Larkin,6100000,larkidy01
Kris Letang,6100000,letankr01
Pierre-Luc Dubois,6000000,duboipi01
Tyler Myers,6000000,myersty01
Brock Nelson,6000000,nelsobr01
Jake Guentzel,6000000,guentja01
Ondrej Palat,6000000,palaton01
Milan Lucic,6000000,lucicmi01
Jonas Brodin,6000000,brodijo01
Kyle Okposo,6000000,okposky01
Jordan Staal,6000000,staaljo01
Rasmus Dahlin,6000000,dahlira01
Timo Meier,6000000,meierti01
Jordan Binnington,6000000,binnijo01
Matt Dumba,6000000,dumbama01
Mats Zuccarello,6000000,zuccama01
Nikolaj Ehlers,6000000,ehlerni01
Taylor Hall,6000000,hallta01
Jacob Markström,6000000,marksja01
Erik Johnson,6000000,johnser01
Nate Schmidt,5950000,schmina01
William Karlsson,5900000,karlswi01
Philipp Grubauer,5900000,grubaph01
Jonathan Huberdeau,5900000,huberjo01
Cam Atkinson,5875000,atkinca01
Neal Pionk,5875000,pionkne01
Nick Schmaltz,5850000,schmani01
Adam Henrique,5825000,henriad01
Andrew Mangiapane,5800000,mangian01
Jonathan Quick,5800000,quickjo01
Pavel Buchnevich,5800000,buchnpa01
Esa Lindell,5800000,lindees01
Adam Pelech,5750000,pelecad01
T.J. Oshie,5750000,oshiet.01
Anthony Mantha,5700000,manthan01
Igor Shesterkin,5666667,shestig01
Andrew Copp,5625000,coppan01
Vincent Trocheck,5625000,trochvi01
Jake Muzzin,5625000,muzzija01
Jaden Schwartz,5500000,schwaja01
Andrew Ladd,5500000,laddan01
Josh Anderson,5500000,anderjo01
Jonathan Drouin,5500000,drouijo01
Zach Hyman,5500000,hymanza01
Phillip Danault,5500000,danauph01
Bo Horvat,5500000,horvabo01
Travis Konecny,5500000,konectr01
Jordan Eberle,5500000,eberljo01
Adrian Kempe,5500000,kempead01
André Burakovsky,5500000,burakan01
Jason Zucker,5500000,zuckeja01
Gustav Nyquist,5500000,nyquigu01
Joe Pavelski,5500000,paveljo01
Jesper Bratt,5450000,brattje01
Oliver Bjorkstrand,5400000,bjorkol01
Teuvo Teräväinen,5400000,terävte01
Elvis Merzlikins,5400000,merzlel01
Mikael Backlund,5350000,backlmi01
Patric Hörnqvist,5300000,hörnqpa01
Jaccob Slavin,5300000,slavija01
Bryan Little,5291667,littlbr01
J.T. Miller,5250000,millej.01
Alec Martinez,5250000,martial01
Charlie Coyle,5250000,coylech01
Jakob Silfverberg,5250000,silfvja01
Darcy Kuemper,5250000,kuempda01
Joel Eriksson Ek,5250000,eriksjo01
Brady Skjei,5250000,skjeibr01
Jakub Vrána,5250000,vránaja01
Shea Theodore,5200000,theodsh01
Tom Wilson,5166667,wilsoto01
Yanni Gourde,5166666,gourdya01
Evander Kane,5125000,kaneev01
Bryan Rust,5125000,rustbr01
Ryan Nugent-Hopkins,5125000,nugenry01
Rasmus Ristolainen,5100000,ristora01
Dmitry Orlov,5100000,orlovdm01
Kyle Palmieri,5000000,palmiky01
Ryan Strome,5000000,stromry01
Josh Bailey,5000000,bailejo01
Robin Lehner,5000000,lehnero01
Juuse Saros,5000000,sarosju01
Thatcher Demko,5000000,demkoth01
Jared McCann,5000000,mccanja01
Semyon Varlamov,5000000,varlase01
Evgeni Dadonov,5000000,dadonev01
Tyler Johnson,5000000,johnsty01
Anthony Deangelo,5000000,deangan01
Jack Campbell,5000000,campbja01
Rickard Rakell,5000000,rakelri01
Cal Petersen,5000000,peterca01
Samuel Girard,5000000,girarsa01
Reilly Smith,5000000,smithre01
Mikael Granlund,5000000,granlmi01
Linus Ullmark,5000000,ullmali01
Jean-Gabriel Pageau,5000000,pageaje01
Joel Farabee,5000000,farabjo01
Jonathan Marchessault,5000000,marchjo01
Drake Batherson,4975000,bathedr01
Conor Garland,4950000,garlaco01
Noah Hanifin,4950000,hanifno01
Ben Bishop,4916667,bishobe01
Blake Coleman,4900000,colembl01
Michael Matheson,4875000,mathemi01
Elias Lindholm,4850000,lindhel01
Jesperi Kotkaniemi,4820000,kotkaje01
Anthony Cirelli,4800000,cirelan01
Mikhail Sergachev,4800000,sergami01
Ben Chiarot,4750000,chiarbe01
Alex Tuch,4750000,tuchal01
Ville Husso,4750000,hussovi01
Ilya Mikheyev,4750000,mikheil01
Tyler Bertuzzi,4750000,bertuty01
Victor Olofsson,4750000,olofsvi01
David Perron,4750000,perroda01
Kevin Labanc,4725000,labanke01
Travis Sanheim,4675000,sanhetr01
Jamie Oleksiak,4600000,oleksja01
Jakob Chychrun,4600000,chychja01
Rasmus Andersson,4550000,anderra01
Shayne Gostisbehere,4500000,gostish01
Brandon Saad,4500000,saadbr01
Nikita Zaitsev,4500000,zaitsni01
Josh Manson,4500000,mansojo01
Christopher Tanev,4500000,tanevch01
Tyson Barrie,4500000,barrity01
Mike Hoffman,4500000,hoffmmi01
Alexander Wennberg,4500000,wennbal01
Mason Marchment,4500000,marchma01
Artturi Lehkonen,4500000,lehkoar01
Tomas Tatar,4500000,tatarto01
Frederik Andersen,4500000,anderfr01
Christian Dvorak,4450000,dvorach01
Alex Killorn,4450000,killoal01
Sam Bennett,4425000,bennesa01
Connor Murphy,4400000,murphco01
Filip Hronek,4400000,hronefi01
John Marino,4400000,marinjo01
Lawson Crouse,4300000,crousla01
Viktor Arvidsson,4250000,arvidvi01
Tyler Toffoli,4250000,toffoty01
Oscar Klefbom,4167000,klefbos01
Carter Verhaeghe,4166667,verhaca01
Damon Severson,4166666,severda01
Anthony Beauvillier,4150000,beauvan01
Jonathan Bernier,4125000,bernijo01
Brian Dumoulin,4100000,dumoubr01
Brandon Carlo,4100000,carlobr01
Devon Toews,4100000,toewsde01
Jake Gardiner,4050000,gardija01
Marcus Pettersson,4025175,pettema01
Brett Pesce,4025000,pescebr01
Noah Dobson,4000000,dobsono01
Vince Dunn,4000000,dunnvi01
Jake McCabe,4000000,mccabja01
Nick Leddy,4000000,leddyni01
Nino Niederreiter,4000000,niedeni01
Robby Fabbri,4000000,fabbrro01
Jake Oettinger,4000000,oettija01
Jack Roslovic,4000000,rosloja01
Adam Larsson,4000000,larssad01
Jake DeBrusk,4000000,debruja01
Alex Iafallo,4000000,iafalal01
Erik Gudbranson,4000000,gudbrer01
Ilya Sorokin,4000000,sorokil01
Carter Hart,3979000,hartca01
Kevin Shattenkirk,3900000,shattke01
Brenden Dillon,3900000,dillobr01
Joonas Donskoi,3900000,donskjo01
Petr Mrázek,3800000,mrázepe01
Nick Foligno,3800000,foligni01
Nikita Zadorov,3750000,zadorni01
Boone Jenner,3750000,jennebo01
Matt Grzelcyk,3687500,grzelma01
Cam Talbot,3666667,talboca01
Ryan Suter,3650000,suterry01
Frank Vatrano,3650000,vatrafr01
Barclay Goodrow,3641667,goodrba01
Connor Brown,3600000,brownco01
Lars Eller,3500000,ellerla01
J.T. Compher,3500000,comphj.01
Pavel Zacha,3500000,zachapa01
Brandon Tanev,3500000,tanevbr01
Alexander Kerfoot,3500000,kerfoal01
Tristan Jarry,3500000,jarrytr01
Micheal Ferland,3500000,ferlami01
Joel Edmundson,3500000,edmunjo01
Chris Driedger,3500000,driedch01
Marc-André Fleury,3500000,fleurma01
David Savard,3500000,savarda01
Dylan Strome,3500000,stromdy01
Joel Armia,3400000,armiajo01
Vitek Vanecek,3400000,vanecvi01
Andreas Johnsson,3400000,johnsan01
Alexandar Georgiev,3400000,georgal01
Paul Byron,3400000,byronpa01
Kirby Dach,3362500,dachki01
Anton Khudobin,3333333,khudoan01
Marco Scandella,3275000,scandma01
Pius Suter,3250000,suterpi01
Tanner Pearson,3250000,pearsta01
Radek Faksa,3250000,faksara01
Adam Lowry,3250000,lowryad01
Mario Ferraro,3250000,ferrama01
MacKenzie Weegar,3250000,weegama01
Cody Ceci,3250000,cecico01
Miles Wood,3200000,woodmi01
Zack Kassian,3200000,kassiza01
Kasperi Kapanen,3200000,kapanka01
Ryan Graves,3166667,gravery01
Matt Roy,3150000,royma01
Roope Hintz,3150000,hintzro01
Nicholas Paul,3150000,paulni01
Jeff Carter,3125000,carteje01
Marcus Foligno,3100000,foligma01
Kailer Yamamoto,3100000,yamamka01
Craig Smith,3100000,smithcr01
Andreas Athanasiou,3000000,athanan01
Mike Reilly,3000000,reillmi01
Travis Hamonic,3000000,hamontr01
Ian Cole,3000000,coleia01
Ryan Lindgren,3000000,lindgry01
Scott Laughton,3000000,laughsc01
Jesse Puljujärvi,3000000,puljuje01
Martin Necas,3000000,necasma01
Jordan Greenway,3000000,greenjo01
Nicolas Roy,3000000,royni01
Anthony Duclair,3000000,duclaan01
Dylan DeMelo,3000000,demeldy01
Derek Forbort,3000000,forbode01
Justin Schultz,3000000,schulju01
Alex Nedeljkovic,3000000,nedelal01
Max Domi,3000000,domima01
Mathieu Joseph,2950000,josepma01
Erik Cernak,2950000,cernaer01
Denis Gurianov,2900000,guriade01
Jake Allen,2875000,allenja01
Colton Sissons,2857143,sissoco01
Brayden McNabb,2850000,mcnabbr01
Mackenzie Blackwood,2800000,blackma01
Jordan Kyrou,2800000,kyroujo01
Vladislav Gavrikov,2800000,gavrivl01
Robert Thomas,2800000,thomaro01
Ilya Lyubushkin,2750000,lyubuil01
Zach Whitecloud,2750000,whiteza01
Warren Foegele,2750000,foegewa01
Kaapo Kähkönen,2750000,kähköka01
Brock McGinn,2750000,mcginbr01
Carl Hagelin,2750000,hagelca01
Oskar Sundqvist,2750000,sundqos01
Luke Kunin,2750000,kuninlu01
Carson Soucy,2750000,soucyca01
Brett Kulak,2750000,kulakbr01
John Moore,2750000,moorejo01
Richard Pánik,2750000,pánikri01
Chandler Stephenson,2750000,stephch01
Anton Forsberg,2750000,forsban01
Jan Rutta,2750000,ruttaja01
Karel Vejmelka,2725000,vejmeka01
Gustav Forsling,2666667,forslgu01
Jason Dickinson,2650000,dickija01
Sean Walker,2650000,walkese01
Adam Boqvist,2600000,boqviad01
Philippe Myers,2550000,myersph01
Sean Kuraly,2500000,kuralse01
Alexander Romanov,2500000,romanal01
Patrik Nemeth,2500000,nemetpa01
Casey Mittelstadt,2500000,mitteca01
Oskar Lindblom,2500000,lindbos01
Tucker Poolman,2500000,poolmtu01
Henri Jokiharju,2500000,jokihhe01
Nick Jensen,2500000,jenseni01
Artem Zub,2500000,zubar01
Dominik Kubalik,2500000,kubaldo01
Nick Ritchie,2500000,ritchni01
Vladislav Namestnikov,2500000,namesvl01
Alexander Barabanov,2500000,barabal01
Casey Cizikas,2500000,cizikca01
Patrice Bergeron,2500000,bergepa01
Oliver Kylington,2500000,kylinol01
Radko Gudas,2500000,gudasra01
Jacob Middleton,2450000,middlja01
Dante Fabbro,2400000,fabbrda01
Erik Haula,2375000,haulaer01
Jake Bean,2333333,beanja01
Laurent Brossoit,2325000,brossla01
Dillon Dubé,2300000,dubédi01
Filip Chytil,2300000,chytifi01
Nicolas Hague,2294150,hagueni01
Radim Simek,2250000,simekra01
Ivan Barbashev,2250000,barbaiv01
Dmitry Kulikov,2250000,kulikdm01
James Reimer,2250000,reimeja01
Olli Määttä,2250000,määttol01
Pierre Engvall,2250000,engvapi01
Ethan Bear,2200000,bearet01
Teddy Blueger,2200000,bluegte01
Zemgus Girgensons,2200000,girgeze01
Mike Smith,2200000,smithmi01
Adin Hill,2175000,hillad01
Mason Appleton,2166667,applema01
Adam Erne,2100000,ernead01
Calle Järnkrok,2100000,järnkca01
Kaapo Kakko,2100000,kakkoka01
Nick Bonino,2050000,boninni01
Maxime Comtois,2037500,comtoma01
Martin Jones,2000000,jonesma01
Pavel Francouz,2000000,francpa01
Tyson Jost,2000000,jostty01
Nico Sturm,2000000,sturmni01
Justin Holl,2000000,hollju01
Jesper Fast,2000000,fastje01
Yegor Sharangovich,2000000,sharaye01
Antti Raanta,2000000,raantan01
Alex Goligoski,2000000,goligal01
Jérémy Lauzon,2000000,lauzojé01
Evan Rodrigues,2000000,rodriev01
Niko Mikkola,1900000,mikkoni01
Trevor Moore,1875000,mooretr01
Jacob Bryson,1850000,brysoja01
Colin Miller,1850000,milleco01
Filip Zadina,1825000,zadinfi01
Ilya Samsonov,1800000,samsoil01
Eric Comrie,1800000,comrier01
Isac Lundeström,1800000,lundeis01
Jordan Martinook,1800000,martijo01
Casey DeSmith,1800000,desmica01
Barrett Hayton,1775000,haytoba01
Travis Boyd,1750000,boydtr01
Nicolas Deslauriers,1750000,deslani01
Cal Clutterbuck,1750000,cluttca01
Tomas Nosek,1750000,nosekto01
Ryan Reaves,1750000,reavery01
Jake Evans,1700000,evansja01
Vinnie Hinostroza,1700000,hinosvi01
Yakov Trenin,1700000,treniya01
Ryan Hartman,1700000,hartmry01
Sean Durzi,1700000,durzise01
Blake Lizotte,1675000,lizotbl01
Eric Robinson,1600000,robiner01
Anders Bjork,1600000,bjorkan01
Juuso Välimäki,1550000,välimju01
Alexandre Texier,1525000,texieal01
Samuel Blais,1525000,blaissa01
Eetu Luostarinen,1500000,luostee01
Austin Watson,1500000,watsoau01
Luke Glendening,1500000,glendlu01
Garnet Hathaway,1500000,hathaga01
Travis Dermott,1500000,dermotr01
Jaroslav Halák,1500000,halákja01
Derek Grant,1500000,grantde01
David Kämpf,1500000,kämpfda01
Brett Howden,1500000,howdebr01
Conor Sheary,1500000,shearco01
Craig Anderson,1500000,andercr01
Brandon Hagel,1500000,hagelbr01
Kevin Lankinen,1500000,lankike01
Paul Stastny,1500000,stastpa01
Jani Hakanpää,1500000,hakanja01
Owen Tippett,1500000,tippeow01
Phil Kessel,1500000,kesseph01
Ondrej Kase,1500000,kaseon01
Markus Nutivaara,1500000,nutivma01
Matt Martin,1500000,martima01
Michael Rasmussen,1460000,rasmumi01
Troy Terry,1450000,terrytr01
Eeli Tolvanen,1450000,tolvaee01
Scott Mayfield,1450000,mayfisc01
Morgan Geekie,1400000,geekimo01
Keegan Kolesar,1400000,koleske01
Rasmus Sandin,1400000,sandira01
Tage Thompson,1400000,thompta01
Timothy Liljegren,1400000,liljeti01
William Carrier,1400000,carriwi01
Tyler Motte,1350000,mottety01
Chris Wagner,1350000,wagnech01
Brendan Lemieux,1350000,lemiebr01
Jordan Oesterle,1350000,oestejo01
Caleb Jones,1350000,jonesca01
Riley Stillman,1350000,stillri01
Nic Dowd,1300000,dowdni01
Nick Holden,1300000,holdeni01
Carl Grundström,1300000,grundca01
Joonas Korpisalo,1300000,korpijo01
Kevin Rooney,1300000,rooneke01
Max Jones,1295000,jonesma02
Joshua Brown,1275000,brownjo01
